method,n,hotpotqa,2wiki,musique,strategyqa,macro
CoT,500,78.40,72.40,52.40,90.60,73.45
Self-Consistency,500,80.00,71.20,52.20,90.80,73.55
Consensus,500,78.60,76.20,57.80,87.60,75.05
MAD,500,79.40,75.20,55.20,81.40,72.80
dMAD,500,78.00,71.60,52.20,75.60,69.35
v6.2,500,78.00,75.60,56.40,93.40,75.85
